review_id,paper_slug,system,model,official_decision,tone_verdict,tone_confidence,tone_signal,gate_verdict,gate_reason,triggered_gates,fundamental_gate_hits,fatal_concern_present,num_concerns,num_decisive_concerns,num_major_fatal_concerns,has_accept_signal,per_concern_gates_json,structural_unreliable_flag,positive_tone_missed_flaws_flag
EXT9-039,from_capabilities_pentest,A,Opus,ACCEPTED,REJECT,high,"The explicit Reject decision is severe, centered on fatal implementation opacity, no statistical rigor, subjective capability labels, and weakly validated baselines.",REJECT,"REJECT because fatal G3/G4 issues are present, with further major hits for baseline faithfulness, unsupported augmentation claims, and limited novelty.","G1, G2, G3, G4, G5, G6",6,true,13,3,8,true,"[{""id"": ""A1"", ""gates"": [""G3""]}, {""id"": ""A2"", ""gates"": [""G4""]}, {""id"": ""A3"", ""gates"": [""G4""]}, {""id"": ""A4"", ""gates"": [""G4""]}, {""id"": ""A5"", ""gates"": [""G2"", ""G4""]}, {""id"": ""A6"", ""gates"": [""G1""]}, {""id"": ""A7"", ""gates"": [""G5""]}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": [""G6""]}, {""id"": ""A10"", ""gates"": []}, {""id"": ""A11"", ""gates"": []}, {""id"": ""A12"", ""gates"": []}, {""id"": ""A13"", ""gates"": []}]",,
EXT9-040,from_capabilities_pentest,A,GPT4o,ACCEPTED,REJECT,high,The explicit Reject decision treats the paper as not novel or significant enough and insufficiently compared to stronger existing approaches.,REJECT,REJECT because the review identifies two novelty-related major concerns plus a missing strong comparison baseline.,"G2, G5",3,false,7,2,3,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G5""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": [""G2""]}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}]",,
EXT9-041,from_capabilities_pentest,O,Opus,ACCEPTED,REJECT,high,"The review is overwhelmingly negative because it finds the taxonomy bloated, the metrics internally inconsistent, the augmentation results suspicious, and the empirical tables unreliable.",REJECT,"REJECT because multiple fatal validity problems appear, including post-hoc-looking augmentation percentages and numerically inconsistent tables, along with missing implementation detail and weak baselines.","G1, G2, G3, G4, G5, G6",16,true,39,10,18,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G5""]}, {""id"": ""A3"", ""gates"": [""G2""]}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A9"", ""gates"": []}, {""id"": ""A10"", ""gates"": [""G4""]}, {""id"": ""A11"", ""gates"": [""G4""]}, {""id"": ""A12"", ""gates"": []}, {""id"": ""A13"", ""gates"": []}, {""id"": ""A14"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A15"", ""gates"": [""G4""]}, {""id"": ""A16"", ""gates"": [""G1""]}, {""id"": ""A17"", ""gates"": []}, {""id"": ""A18"", ""gates"": [""G3""]}, {""id"": ""A19"", ""gates"": []}, {""id"": ""A20"", ""gates"": []}, {""id"": ""A21"", ""gates"": []}, {""id"": ""A22"", ""gates"": []}, {""id"": ""A23"", ""gates"": []}, {""id"": ""A24"", ""gates"": []}, {""id"": ""A25"", ""gates"": []}, {""id"": ""A26"", ""gates"": [""G4""]}, {""id"": ""A27"", ""gates"": [""G4""]}, {""id"": ""A28"", ""gates"": []}, {""id"": ""A29"", ""gates"": [""G4"", ""G6""]}, {""id"": ""A30"", ""gates"": [""G4""]}, {""id"": ""A31"", ""gates"": []}, {""id"": ""A32"", ""gates"": [""G4""]}, {""id"": ""A33"", ""gates"": [""G4""]}, {""id"": ""A34"", ""gates"": []}, {""id"": ""A35"", ""gates"": [""G1""]}, {""id"": ""A36"", ""gates"": [""G3""]}, {""id"": ""A37"", ""gates"": []}, {""id"": ""A38"", ""gates"": []}, {""id"": ""A39"", ""gates"": []}]",,
EXT9-042,from_capabilities_pentest,M,GPT4o,ACCEPTED,ACCEPT,low,"The structurally broken output reads as constructive refinement, mainly asking for more augmentation and setup detail while still treating the study as useful.",ACCEPT,ACCEPT because the major complaints are reproducibility/implementation gaps rather than fundamental validity or baseline failures.,G3,0,false,10,0,2,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": [""G3""]}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": [""G3""]}, {""id"": ""A10"", ""gates"": []}]",YES,
EXT9-043,rl_backtracking_feedback,L,Opus,ACCEPTED,REJECT,high,"The review sees RLBF as an incremental extension whose strongest empirical claims are under-supported by missing stats, missing critic evaluation, and weak baselines.",REJECT,"REJECT because the review identifies novelty, validity, evidence, and baseline problems well beyond the reject threshold.","G1, G2, G3, G4, G5, G6",5,false,8,4,6,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G4""]}, {""id"": ""A3"", ""gates"": [""G6""]}, {""id"": ""A4"", ""gates"": [""G1"", ""G3""]}, {""id"": ""A5"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": [""G2""]}, {""id"": ""A8"", ""gates"": []}]",,
EXT9-044,rl_backtracking_feedback,L,GPT4o,ACCEPTED,ACCEPT,medium,"The review strongly endorses the safety idea and empirical gains, with only one major methodological complaint about the absence of statistical support.",AMBIGUOUS,AMBIGUOUS because the only major fundamental issue is missing statistical evidence for the reported gains.,G4,1,false,4,2,1,true,"[{""id"": ""A1"", ""gates"": [""G4""]}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}]",,
EXT9-045,rl_backtracking_feedback,A,Opus,ACCEPTED,REJECT,high,"The explicit Reject decision is driven by fatal missing experimental detail, no comparison to the original baseline, no critic validation, no stats, and no adaptive attack test.",REJECT,REJECT because fatal G3 plus multiple additional G1/G2/G4 hits make this a clear gate-based reject.,"G1, G2, G3, G4, G5, G6, G7",5,true,15,3,8,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G3""]}, {""id"": ""A3"", ""gates"": [""G2""]}, {""id"": ""A4"", ""gates"": [""G4"", ""G6""]}, {""id"": ""A5"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": [""G3""]}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": [""G4""]}, {""id"": ""A10"", ""gates"": [""G6"", ""G7""]}, {""id"": ""A11"", ""gates"": []}, {""id"": ""A12"", ""gates"": []}, {""id"": ""A13"", ""gates"": []}, {""id"": ""A14"", ""gates"": []}, {""id"": ""A15"", ""gates"": []}]",,
EXT9-046,rl_backtracking_feedback,A,GPT4o,ACCEPTED,REJECT,high,"The explicit Reject decision centers on under-supported empirical claims, unavailable code/data, and unquantified efficiency costs.",AMBIGUOUS,AMBIGUOUS because the review only clearly reaches one fundamental gate hit—the lack of statistical support—while the rest are reproducibility and practicality concerns.,"G3, G4",1,false,7,3,3,true,"[{""id"": ""A1"", ""gates"": [""G4""]}, {""id"": ""A2"", ""gates"": [""G3""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}]",,
EXT9-047,rl_backtracking_feedback,O,Opus,ACCEPTED,REJECT,medium,"Although it acknowledges the idea as intuitive, the review ultimately leans negative because the training formulation, critic specification, novelty claim, and attack evidence all look weak.",REJECT,"REJECT because several major concerns hit fundamental gates, including incoherent training evidence, missing critic implementation detail, incremental novelty, and unsupported adversarial robustness.","G1, G3, G4, G5, G6, G7",7,false,24,5,7,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": [""G1""]}, {""id"": ""A9"", ""gates"": []}, {""id"": ""A10"", ""gates"": []}, {""id"": ""A11"", ""gates"": []}, {""id"": ""A12"", ""gates"": []}, {""id"": ""A13"", ""gates"": []}, {""id"": ""A14"", ""gates"": []}, {""id"": ""A15"", ""gates"": []}, {""id"": ""A16"", ""gates"": [""G1"", ""G3""]}, {""id"": ""A17"", ""gates"": []}, {""id"": ""A18"", ""gates"": []}, {""id"": ""A19"", ""gates"": [""G4""]}, {""id"": ""A20"", ""gates"": []}, {""id"": ""A21"", ""gates"": [""G5""]}, {""id"": ""A22"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A23"", ""gates"": []}, {""id"": ""A24"", ""gates"": [""G1"", ""G6""]}]",,
EXT9-048,rl_backtracking_feedback,M,GPT4o,ACCEPTED,REJECT,low,"The structurally broken review still leans negative because it complains about unsupported superiority claims, missing statistics, and unavailable code/data.",REJECT,REJECT because the review surfaces two fundamental issues—unsupported comparative claims and no statistical support—plus major reproducibility gaps.,"G1, G3, G4",2,false,15,3,3,true,"[{""id"": ""A1"", ""gates"": [""G1""]}, {""id"": ""A2"", ""gates"": [""G4""]}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": [""G3""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": []}, {""id"": ""A10"", ""gates"": []}, {""id"": ""A11"", ""gates"": []}, {""id"": ""A12"", ""gates"": []}, {""id"": ""A13"", ""gates"": []}, {""id"": ""A14"", ""gates"": []}, {""id"": ""A15"", ""gates"": []}]",YES,
EXT9-049,rl_reasoning_limits,L,Opus,ACCEPTED,REJECT,medium,"The review finds the question important but argues that the paper overinterprets pass@k, under-controls entropy confounds, and bases key distributional claims on tiny analyses.",REJECT,"REJECT because multiple major concerns hit G1/G4 through entropy confounds, hidden API/training confounds, and an extremely thin perplexity analysis.","G1, G4, G6, G7",5,false,8,6,6,true,"[{""id"": ""A1"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A2"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A3"", ""gates"": [""G6"", ""G7""]}, {""id"": ""A4"", ""gates"": [""G4""]}, {""id"": ""A5"", ""gates"": [""G1"", ""G4""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": [""G1"", ""G6""]}, {""id"": ""A8"", ""gates"": []}]",,
EXT9-050,rl_reasoning_limits,L,GPT4o,ACCEPTED,ACCEPT,medium,"The review presents the paper as a comprehensive and useful diagnosis of RLVR limits, with its concerns framed as opportunities for deeper follow-up rather than blockers.",ACCEPT,ACCEPT because no major concern maps to a fundamental gate and the review gives substantive reasons for acceptance.,,0,false,5,0,0,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}]",,
EXT9-051,rl_reasoning_limits,A,Opus,ACCEPTED,REJECT,high,The explicit Reject decision argues that the headline conclusion is not new enough and that one of its key supporting analyses is far too small.,REJECT,REJECT because the review rejects on both limited novelty and a major claim–evidence problem in the tiny perplexity analysis.,"G1, G5, G6",3,false,9,3,3,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": [""G1"", ""G6""]}, {""id"": ""A3"", ""gates"": [""G5""]}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": []}]",,
EXT9-052,rl_reasoning_limits,A,GPT4o,ACCEPTED,REJECT,high,The explicit Reject decision says the paper mostly reiterates known RLVR limitations without enough methodological or conceptual advancement.,REJECT,REJECT because two separate major concerns map to G5 because the review treats the contribution as insufficiently novel and largely confirmatory.,G5,2,false,4,3,3,true,"[{""id"": ""A1"", ""gates"": [""G5""]}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": [""G5""]}, {""id"": ""A4"", ""gates"": []}]",,
EXT9-053,rl_reasoning_limits,O,Opus,ACCEPTED,REJECT,medium,The review respects the breadth of the experiments but concludes that the paper overclaims about reasoning patterns from evidence that mostly shows solvability overlap.,REJECT,REJECT because two major concerns hit G1: the tiny perplexity study and the mismatch between problem-solvability evidence and stronger reasoning-pattern claims.,"G1, G6, G7",2,false,6,4,2,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": [""G1"", ""G6""]}, {""id"": ""A4"", ""gates"": [""G1"", ""G7""]}, {""id"": ""A5"", ""gates"": []}, {""id"": ""A6"", ""gates"": []}]",,
EXT9-054,rl_reasoning_limits,M,GPT4o,ACCEPTED,ACCEPT,low,"The broken review mostly asks for more metrics, better comparisons, and clearer reproducibility detail rather than challenging the core result.",ACCEPT,"ACCEPT because the only major mapped issue is missing algorithmic detail, while the rest are moderate requests for further analysis.",G3,0,false,9,1,1,true,"[{""id"": ""A1"", ""gates"": []}, {""id"": ""A2"", ""gates"": []}, {""id"": ""A3"", ""gates"": []}, {""id"": ""A4"", ""gates"": []}, {""id"": ""A5"", ""gates"": [""G3""]}, {""id"": ""A6"", ""gates"": []}, {""id"": ""A7"", ""gates"": []}, {""id"": ""A8"", ""gates"": []}, {""id"": ""A9"", ""gates"": []}]",YES,
